INFO 2025-01-30 00:48:14,250 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-01-30 00:48:19,079 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19102
INFO 2025-01-30 00:48:19,220 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-30 01:00:37,868 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19102
INFO 2025-01-30 01:00:38,075 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-30 21:17:21,847 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19102
INFO 2025-01-30 21:17:26,602 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19102
INFO 2025-01-30 21:17:26,648 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,649 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,657 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,658 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,665 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,667 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,673 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,676 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,678 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,682 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,683 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,688 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,692 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,693 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,703 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,704 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,710 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,716 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-01-30 21:17:26,745 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-30 21:54:53,804 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19102
INFO 2025-01-30 21:54:56,482 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19102
INFO 2025-01-30 21:54:56,634 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-30 23:48:37,405 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19102
INFO 2025-03-11 19:06:09,406 autoreload Watching for file changes with StatReloader
WARNING 2025-03-11 19:06:49,609 log Not Found: /
WARNING 2025-03-11 19:06:49,612 basehttp "GET / HTTP/1.1" 404 2594
WARNING 2025-03-11 19:06:49,794 log Not Found: /favicon.ico
WARNING 2025-03-11 19:06:49,796 basehttp "GET /favicon.ico HTTP/1.1" 404 2645
INFO 2025-03-11 19:06:59,528 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4164
INFO 2025-03-11 19:06:59,749 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-11 19:06:59,775 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-11 19:06:59,779 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-03-11 19:06:59,787 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-11 19:06:59,789 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-03-11 19:06:59,800 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-03-11 19:06:59,814 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-03-11 19:07:05,823 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-11 19:07:05,972 basehttp "GET /admin/ HTTP/1.1" 200 17481
INFO 2025-03-11 19:07:06,005 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-03-11 19:07:06,028 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-03-11 19:07:06,028 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-03-11 19:07:06,031 basehttp "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
